indicator,County,Year,subgroup1,subgroup_cat1,subgroup2,subgroup_cat2,aaRate10K,count,cRate10K,dailyMean
"ED Visits	",Chautauqua,2014-2016,"Total	","	","Total	","	",56.665,2007,51.16,1.831
"ED Visits	",Chemung,2005-2007,"Total	","	","Total	","	",89.165,2244,84.289,2.049
"ED Visits	",Chemung,2005-2016,"Total	","	","Total	","	",73.784,7344,69.267,1.676
"ED Visits	",Chemung,2006-2008,"Total	","	","Total	","	",80.569,2025,76.165,1.848
"ED Visits	",Chemung,2007-2009,"Total	","	","Total	","	",77.609,1952,73.387,1.781
"ED Visits	",Chemung,2008-2010,"Total	","	","Total	","	",76.293,1910,71.717,1.743
"ED Visits	",Chemung,2009-2011,"Total	","	","Total	","	",82.525,2061,77.246,1.882
"ED Visits	",Chemung,2010-2012,"Total	","	","Total	","	",81.715,2046,76.565,1.867
"ED Visits	",Chemung,2011-2013,"Total	","	","Total	","	",74.808,1875,70.291,1.711
"ED Visits	",Chemung,2012-2014,"Total	","	","Total	","	",64.069,1601,60.354,1.461
"ED Visits	",Chemung,2013-2015,"Total	","	","Total	","	",55.875,1386,52.675,1.266
"ED Visits	",Chemung,2014-2016,"Total	","	","Total	","	",54.263,1315,50.393,1.2
"ED Visits	",Chenango,2005-2007,"Total	","	","Total	","	",54.384,761,49.413,0.695
"ED Visits	",Chenango,2005-2016,"Total	","	","Total	","	",53.707,2914,48.323,0.665
"ED Visits	",Chenango,2006-2008,"Total	","	","Total	","	",53.792,739,47.931,0.674
"ED Visits	",Chenango,2007-2009,"Total	","	","Total	","	",54.043,734,47.84,0.67
"ED Visits	",Chenango,2008-2010,"Total	","	","Total	","	",55.69,747,49.036,0.682
"ED Visits	",Chenango,2009-2011,"Total	","	","Total	","	",57.817,780,51.565,0.712
"ED Visits	",Chenango,2010-2012,"Total	","	","Total	","	",57.474,776,51.546,0.708
"ED Visits	",Chenango,2011-2013,"Total	","	","Total	","	",51.508,703,46.962,0.641
"ED Visits	",Chenango,2012-2014,"Total	","	","Total	","	",53.132,714,47.96,0.651
"ED Visits	",Chenango,2013-2015,"Total	","	","Total	","	",52.105,698,47.184,0.637
"ED Visits	",Chenango,2014-2016,"Total	","	","Total	","	",54.212,703,47.826,0.641
"ED Visits	",Clinton,2005-2007,"Total	","	","Total	","	",113.354,2828,114.338,2.583
"ED Visits	",Clinton,2005-2016,"Total	","	","Total	","	",92.687,9028,91.798,2.06
"ED Visits	",Clinton,2006-2008,"Total	","	","Total	","	",120.668,3005,121.412,2.742
"ED Visits	",Clinton,2007-2009,"Total	","	","Total	","	",124.303,3066,124.011,2.797
"ED Visits	",Clinton,2008-2010,"Total	","	","Total	","	",123.405,3020,122.392,2.755
"ED Visits	",Clinton,2009-2011,"Total	","	","Total	","	",100.32,2433,98.822,2.222
"ED Visits	",Clinton,2010-2012,"Total	","	","Total	","	",78.097,1896,77.139,1.73
"ED Visits	",Clinton,2011-2013,"Total	","	","Total	","	",60.408,1467,59.763,1.339
"ED Visits	",Clinton,2012-2014,"Total	","	","Total	","	",57.488,1392,56.747,1.27
"ED Visits	",Clinton,2013-2015,"Total	","	","Total	","	",75.898,1810,74.003,1.653
"ED Visits	",Clinton,2014-2016,"Total	","	","Total	","	",72.488,1713,70.231,1.563
"ED Visits	",Columbia,2005-2007,"Total	","	","Total	","	",52.559,859,45.074,0.784
"ED Visits	",Columbia,2005-2016,"Total	","	","Total	","	",49.16,3120,41.501,0.712
"ED Visits	",Columbia,2006-2008,"Total	","	","Total	","	",53.224,868,45.658,0.792
"ED Visits	",Columbia,2007-2009,"Total	","	","Total	","	",55.702,902,47.547,0.823
"ED Visits	",Columbia,2008-2010,"Total	","	","Total	","	",51.487,830,43.847,0.757
"ED Visits	",Columbia,2009-2011,"Total	","	","Total	","	",50.487,796,42.191,0.727
"ED Visits	",Columbia,2010-2012,"Total	","	","Total	","	",46.073,721,38.314,0.658
"ED Visits	",Columbia,2011-2013,"Total	","	","Total	","	",46.87,735,39.214,0.671
"ED Visits	",Columbia,2012-2014,"Total	","	","Total	","	",45.673,718,38.433,0.655
"ED Visits	",Columbia,2013-2015,"Total	","	","Total	","	",47.277,739,39.78,0.675
"ED Visits	",Columbia,2014-2016,"Total	","	","Total	","	",45.452,696,37.725,0.635
"ED Visits	",Cortland,2005-2007,"Total	","	","Total	","	",17.575,252,16.981,0.23
"ED Visits	",Cortland,2005-2016,"Total	","	","Total	","	",39.74,2223,37.703,0.507
"ED Visits	",Cortland,2006-2008,"Total	","	","Total	","	",29.331,416,27.993,0.38
"ED Visits	",Cortland,2007-2009,"Total	","	","Total	","	",38.853,548,36.898,0.5
"ED Visits	",Cortland,2008-2010,"Total	","	","Total	","	",41.375,572,38.612,0.522
"ED Visits	",Cortland,2009-2011,"Total	","	","Total	","	",45.608,645,43.552,0.589
"ED Visits	",Cortland,2010-2012,"Total	","	","Total	","	",51.51,712,48.142,0.65
"ED Visits	",Cortland,2011-2013,"Total	","	","Total	","	",56.41,807,54.642,0.736
"ED Visits	",Cortland,2012-2014,"Total	","	","Total	","	",54.296,770,52.357,0.703
"ED Visits	",Cortland,2013-2015,"Total	","	","Total	","	",49.368,701,47.901,0.64
"ED Visits	",Cortland,2014-2016,"Total	","	","Total	","	",44.605,592,40.723,0.54
"ED Visits	",Delaware,2005-2007,"Total	","	","Total	","	",35.696,474,32.668,0.433
"ED Visits	",Delaware,2005-2016,"Total	","	","Total	","	",40.285,2031,35.658,0.463
"ED Visits	",Delaware,2006-2008,"Total	","	","Total	","	",34.783,456,31.43,0.416
"ED Visits	",Delaware,2007-2009,"Total	","	","Total	","	",38.33,495,34.139,0.452
"ED Visits	",Delaware,2008-2010,"Total	","	","Total	","	",42.358,539,37.321,0.492
"ED Visits	",Delaware,2009-2011,"Total	","	","Total	","	",46.675,590,41.054,0.539
"ED Visits	",Delaware,2010-2012,"Total	","	","Total	","	",42.956,541,37.869,0.494
"ED Visits	",Delaware,2011-2013,"Total	","	","Total	","	",42.375,531,37.432,0.484
"ED Visits	",Delaware,2012-2014,"Total	","	","Total	","	",40.879,505,35.865,0.461
"ED Visits	",Delaware,2013-2015,"Total	","	","Total	","	",43.407,537,38.481,0.49
"ED Visits	",Delaware,2014-2016,"Total	","	","Total	","	",40.409,487,35.24,0.444
"ED Visits	",Dutchess,2005-2007,"Total	","	","Total	","	",55.365,4724,53.415,4.314
"ED Visits	",Dutchess,2005-2016,"Total	","	","Total	","	",54.303,18310,51.532,4.178
"ED Visits	",Dutchess,2006-2008,"Total	","	","Total	","	",59.814,5110,57.656,4.662
"ED Visits	",Dutchess,2007-2009,"Total	","	","Total	","	",59.342,5079,57.165,4.634
"ED Visits	",Dutchess,2008-2010,"Total	","	","Total	","	",55.35,4749,53.305,4.333
"ED Visits	",Dutchess,2009-2011,"Total	","	","Total	","	",53.072,4572,51.202,4.175
"ED Visits	",Dutchess,2010-2012,"Total	","	","Total	","	",54.287,4662,52.191,4.254
"ED Visits	",Dutchess,2011-2013,"Total	","	","Total	","	",56.001,4763,53.384,4.346
"ED Visits	",Dutchess,2012-2014,"Total	","	","Total	","	",55.605,4648,52.235,4.241
"ED Visits	",Dutchess,2013-2015,"Total	","	","Total	","	",51.976,4278,48.184,3.907
"ED Visits	",Dutchess,2014-2016,"Total	","	","Total	","	",50.349,4074,46.003,3.717
"ED Visits	",Erie,2005-2007,"Total	","	","Total	","	",62.845,16353,58.841,14.934
"ED Visits	",Erie,2005-2016,"Total	","	","Total	","	",62.844,64685,58.438,14.758
"ED Visits	",Erie,2006-2008,"Total	","	","Total	","	",61.086,15819,57.149,14.433
"ED Visits	",Erie,2007-2009,"Total	","	","Total	","	",62.94,16271,58.915,14.846
"ED Visits	",Erie,2008-2010,"Total	","	","Total	","	",63.979,16494,59.78,15.049
"ED Visits	",Erie,2009-2011,"Total	","	","Total	","	",64.454,16572,60.073,15.134
"ED Visits	",Erie,2010-2012,"Total	","	","Total	","	",62.814,16167,58.574,14.751
"ED Visits	",Erie,2011-2013,"Total	","	","Total	","	",62.284,16045,58.07,14.64
"ED Visits	",Erie,2012-2014,"Total	","	","Total	","	",65.492,16751,60.546,15.284
"ED Visits	",Erie,2013-2015,"Total	","	","Total	","	",64.565,16446,59.397,15.019
"ED Visits	",Erie,2014-2016,"Total	","	","Total	","	",62.397,15793,57.062,14.41
"ED Visits	",Essex,2005-2007,"Total	","	","Total	","	",56.337,642,54.322,0.586
"ED Visits	",Essex,2005-2016,"Total	","	","Total	","	",54.401,2349,50.101,0.536
"ED Visits	",Essex,2006-2008,"Total	","	","Total	","	",65.947,751,63.484,0.685
"ED Visits	",Essex,2007-2009,"Total	","	","Total	","	",64.888,732,61.884,0.668
"ED Visits	",Essex,2008-2010,"Total	","	","Total	","	",61.156,679,57.445,0.62
"ED Visits	",Essex,2009-2011,"Total	","	","Total	","	",56.812,613,51.842,0.56
"ED Visits	",Essex,2010-2012,"Total	","	","Total	","	",58.994,634,53.783,0.578
"ED Visits	",Essex,2011-2013,"Total	","	","Total	","	",54.324,579,49.308,0.528
"ED Visits	",Essex,2012-2014,"Total	","	","Total	","	",52.006,545,46.774,0.497
"ED Visits	",Essex,2013-2015,"Total	","	","Total	","	",45.395,458,39.559,0.418
"ED Visits	",Essex,2014-2016,"Total	","	","Total	","	",46.322,449,39.028,0.41
"ED Visits	",Franklin,2005-2007,"Total	","	","Total	","	",68.34,1015,65.675,0.927
"ED Visits	",Franklin,2005-2016,"Total	","	","Total	","	",63.001,3735,60.595,0.852
"ED Visits	",Franklin,2006-2008,"Total	","	","Total	","	",66.483,1009,65.013,0.921
"ED Visits	",Franklin,2007-2009,"Total	","	","Total	","	",73.13,1104,71.045,1.007
"ED Visits	",Franklin,2008-2010,"Total	","	","Total	","	",75.157,1126,72.534,1.027
"ED Visits	",Franklin,2009-2011,"Total	","	","Total	","	",71.948,1065,68.755,0.973
"ED Visits	",Franklin,2010-2012,"Total	","	","Total	","	",68.322,1014,65.428,0.925
"ED Visits	",Franklin,2011-2013,"Total	","	","Total	","	",62.659,927,59.962,0.846
"ED Visits	",Franklin,2012-2014,"Total	","	","Total	","	",58.979,874,56.708,0.797
"ED Visits	",Franklin,2013-2015,"Total	","	","Total	","	",53.749,797,52.147,0.728
"ED Visits	",Franklin,2014-2016,"Total	","	","Total	","	",45.412,667,43.881,0.609
"ED Visits	",Fulton,2005-2007,"Total	","	","Total	","	",46.003,700,42.139,0.639
"ED Visits	",Fulton,2005-2016,"Total	","	","Total	","	",75.274,4532,68.721,1.034
"ED Visits	",Fulton,2006-2008,"Total	","	","Total	","	",62.245,942,56.61,0.859
"ED Visits	",Fulton,2007-2009,"Total	","	","Total	","	",82.549,1248,74.896,1.139
"ED Visits	",Fulton,2008-2010,"Total	","	","Total	","	",81.024,1225,73.525,1.118
"ED Visits	",Fulton,2009-2011,"Total	","	","Total	","	",85.352,1288,77.455,1.176
"ED Visits	",Fulton,2010-2012,"Total	","	","Total	","	",87.196,1328,80.113,1.212
"ED Visits	",Fulton,2011-2013,"Total	","	","Total	","	",88.866,1342,81.423,1.224
"ED Visits	",Fulton,2012-2014,"Total	","	","Total	","	",84.107,1261,77.032,1.151
"ED Visits	",Fulton,2013-2015,"Total	","	","Total	","	",81.943,1212,74.527,1.107
"ED Visits	",Fulton,2014-2016,"Total	","	","Total	","	",86.475,1265,78.119,1.154
"ED Visits	",Genesee,2005-2007,"Total	","	","Total	","	",47.707,805,44.743,0.735
"ED Visits	",Genesee,2005-2016,"Total	","	","Total	","	",38.474,2527,35.349,0.577
"ED Visits	",Genesee,2006-2008,"Total	","	","Total	","	",44.08,739,41.114,0.674
"ED Visits	",Genesee,2007-2009,"Total	","	","Total	","	",44.491,746,41.5,0.681
"ED Visits	",Genesee,2008-2010,"Total	","	","Total	","	",44.657,741,41.22,0.676
"ED Visits	",Genesee,2009-2011,"Total	","	","Total	","	",41.148,681,37.877,0.622
"ED Visits	",Genesee,2010-2012,"Total	","	","Total	","	",36.188,601,33.459,0.548
"ED Visits	",Genesee,2011-2013,"Total	","	","Total	","	",35.292,586,32.747,0.535
"ED Visits	",Genesee,2012-2014,"Total	","	","Total	","	",32.885,532,29.892,0.485
"ED Visits	",Genesee,2013-2015,"Total	","	","Total	","	",29.129,462,26.099,0.422
"ED Visits	",Genesee,2014-2016,"Total	","	","Total	","	",25.358,395,22.412,0.36
"ED Visits	",Greene,2005-2007,"Total	","	","Total	","	",49.053,669,45.144,0.611
"ED Visits	",Greene,2005-2016,"Total	","	","Total	","	",39.96,2054,35.082,0.469
"ED Visits	",Greene,2006-2008,"Total	","	","Total	","	",47.856,646,43.497,0.589
"ED Visits	",Greene,2007-2009,"Total	","	","Total	","	",45.92,606,40.842,0.553
"ED Visits	",Greene,2008-2010,"Total	","	","Total	","	",40.99,527,35.618,0.481
"ED Visits	",Greene,2009-2011,"Total	","	","Total	","	",37.338,482,32.682,0.44
"ED Visits	",Greene,2010-2012,"Total	","	","Total	","	",37.448,484,32.965,0.442
"ED Visits	",Greene,2011-2013,"Total	","	","Total	","	",37.252,471,32.234,0.43
"ED Visits	",Greene,2012-2014,"Total	","	","Total	","	",36.282,451,31.073,0.411
"ED Visits	",Greene,2013-2015,"Total	","	","Total	","	",32.075,391,27.129,0.357
"ED Visits	",Greene,2014-2016,"Total	","	","Total	","	",31.844,387,27.022,0.353
"ED Visits	",Hamilton,2005-2007,"Total	","	","Total	","	",16.649,20,13.29,0.018
"ED Visits	",Hamilton,2005-2016,"Total	","	","Total	","	",24.596,107,18.463,0.024
"ED Visits	",Hamilton,2006-2008,"Total	","	","Total	","	",22.8,25,16.836,0.023
"ED Visits	",Hamilton,2007-2009,"Total	","	","Total	","	",33.489,35,23.777,0.032
"ED Visits	",Hamilton,2008-2010,"Total	","	","Total	","	",30.745,34,23.312,0.031
"ED Visits	",Hamilton,2009-2011,"Total	","	","Total	","	",27.88,31,21.341,0.028
"ED Visits	",Hamilton,2010-2012,"Total	","	","Total	","	",22.738,26,17.974,0.024
"ED Visits	",Hamilton,2011-2013,"Total	","	","Total	","	",28.692,31,21.541,0.028
"ED Visits	",Hamilton,2012-2014,"Total	","	","Total	","	",29.442,31,21.76,0.028
"ED Visits	",Hamilton,2013-2015,"Total	","	","Total	","	",23.149,23,16.258,0.021
"ED Visits	",Hamilton,2014-2016,"Total	","	","Total	","	",24.288,22,15.794,0.02
"ED Visits	",Herkimer,2005-2007,"Total	","	","Total	","	",36.359,653,33.893,0.596
"ED Visits	",Herkimer,2005-2016,"Total	","	","Total	","	",35.105,2506,32.618,0.572
"ED Visits	",Herkimer,2006-2008,"Total	","	","Total	","	",34.819,638,33.095,0.582
"ED Visits	",Herkimer,2007-2009,"Total	","	","Total	","	",37.13,675,34.951,0.616
"ED Visits	",Herkimer,2008-2010,"Total	","	","Total	","	",40.072,721,37.317,0.658
"ED Visits	",Herkimer,2009-2011,"Total	","	","Total	","	",38.107,678,35.053,0.619
"ED Visits	",Herkimer,2010-2012,"Total	","	","Total	","	",36.557,654,33.787,0.597
"ED Visits	",Herkimer,2011-2013,"Total	","	","Total	","	",31.595,568,29.39,0.518
"ED Visits	",Herkimer,2012-2014,"Total	","	","Total	","	",34.255,611,31.781,0.557
"ED Visits	",Herkimer,2013-2015,"Total	","	","Total	","	",32.915,579,30.37,0.529
"ED Visits	",Herkimer,2014-2016,"Total	","	","Total	","	",32.742,564,29.819,0.515
"ED Visits	",Jefferson,2005-2007,"Total	","	","Total	","	",45.548,1585,46.319,1.447
"ED Visits	",Jefferson,2005-2016,"Total	","	","Total	","	",44.907,6348,45.446,1.448
"ED Visits	",Jefferson,2006-2008,"Total	","	","Total	","	",42.772,1505,43.783,1.373
"ED Visits	",Jefferson,2007-2009,"Total	","	","Total	","	",44.61,1569,45.463,1.432
"ED Visits	",Jefferson,2008-2010,"Total	","	","Total	","	",48.384,1707,49.246,1.557
"ED Visits	",Jefferson,2009-2011,"Total	","	","Total	","	",49.746,1779,50.864,1.625
"ED Visits	",Jefferson,2010-2012,"Total	","	","Total	","	",46.994,1703,47.909,1.554
"ED Visits	",Jefferson,2011-2013,"Total	","	","Total	","	",43.767,1586,44.301,1.447
"ED Visits	",Jefferson,2012-2014,"Total	","	","Total	","	",43.225,1540,42.949,1.405
"ED Visits	",Jefferson,2013-2015,"Total	","	","Total	","	",44.051,1555,43.791,1.42
"ED Visits	",Jefferson,2014-2016,"Total	","	","Total	","	",42.481,1470,42.001,1.341
"ED Visits	",Kings,2005-2007,"Total	","	","Total	","	",129.309,93373,127.502,85.272
"ED Visits	",Kings,2005-2016,"Total	","	","Total	","	",138.239,414231,136.442,94.509
"ED Visits	",Kings,2006-2008,"Total	","	","Total	","	",130.138,94062,128.188,85.823
"ED Visits	",Kings,2007-2009,"Total	","	","Total	","	",133.173,96938,131.185,88.447
"ED Visits	",Kings,2008-2010,"Total	","	","Total	","	",137.938,101348,135.885,92.471
"ED Visits	",Kings,2009-2011,"Total	","	","Total	","	",143.502,106753,141.551,97.491
"ED Visits	",Kings,2010-2012,"Total	","	","Total	","	",150.298,113209,148.448,103.293
"ED Visits	",Kings,2011-2013,"Total	","	","Total	","	",151.566,115528,149.817,105.409
"ED Visits	",Kings,2012-2014,"Total	","	","Total	","	",149.559,114933,147.726,104.866
"ED Visits	",Kings,2013-2015,"Total	","	","Total	","	",141.936,109691,140.04,100.174
"ED Visits	",Kings,2014-2016,"Total	","	","Total	","	",134.272,103982,132.181,94.874
"ED Visits	",Lewis,2005-2007,"Total	","	","Total	","	",54.471,406,50.21,0.371
"ED Visits	",Lewis,2005-2016,"Total	","	","Total	","	",44.445,1340,41.298,0.306
"ED Visits	",Lewis,2006-2008,"Total	","	","Total	","	",50.973,379,46.81,0.346
"ED Visits	",Lewis,2007-2009,"Total	","	","Total	","	",44.943,338,41.723,0.308
"ED Visits	",Lewis,2008-2010,"Total	","	","Total	","	",44.642,337,41.611,0.307
"ED Visits	",Lewis,2009-2011,"Total	","	","Total	","	",44.386,341,41.997,0.311
"ED Visits	",Lewis,2010-2012,"Total	","	","Total	","	",50.175,380,46.673,0.347
"ED Visits	",Lewis,2011-2013,"Total	","	","Total	","	",46.784,356,43.669,0.325
"ED Visits	",Lewis,2012-2014,"Total	","	","Total	","	",43.511,331,40.539,0.302
"ED Visits	",Lewis,2013-2015,"Total	","	","Total	","	",35.822,279,34.274,0.255
"ED Visits	",Lewis,2014-2016,"Total	","	","Total	","	",31.792,241,29.716,0.22
"ED Visits	",Livingston,2005-2007,"Total	","	","Total	","	",45.777,827,42.164,0.755
"ED Visits	",Livingston,2005-2016,"Total	","	","Total	","	",40.259,2843,36.429,0.649
"ED Visits	",Livingston,2006-2008,"Total	","	","Total	","	",45.575,819,41.689,0.747
"ED Visits	",Livingston,2007-2009,"Total	","	","Total	","	",45.913,829,42.185,0.756
"ED Visits	",Livingston,2008-2010,"Total	","	","Total	","	",46.907,841,42.845,0.767
"ED Visits	",Livingston,2009-2011,"Total	","	","Total	","	",46.475,826,42.241,0.754
"ED Visits	",Livingston,2010-2012,"Total	","	","Total	","	",44.063,776,39.799,0.708
"ED Visits	",Livingston,2011-2013,"Total	","	","Total	","	",39.635,695,35.739,0.634
"ED Visits	",Livingston,2012-2014,"Total	","	","Total	","	",34.742,606,31.194,0.553
"ED Visits	",Livingston,2013-2015,"Total	","	","Total	","	",32.315,560,28.866,0.511
"ED Visits	",Livingston,2014-2016,"Total	","	","Total	","	",28.156,480,24.802,0.438
"ED Visits	",Madison,2005-2007,"Total	","	","Total	","	",51.282,1026,47.451,0.937
"ED Visits	",Madison,2005-2016,"Total	","	","Total	","	",49.782,3948,45.415,0.901
"ED Visits	",Madison,2006-2008,"Total	","	","Total	","	",48.939,979,44.944,0.893
"ED Visits	",Madison,2007-2009,"Total	","	","Total	","	",50.352,1004,45.855,0.916
"ED Visits	",Madison,2008-2010,"Total	","	","Total	","	",55.149,1107,50.393,1.01
"ED Visits	",Madison,2009-2011,"Total	","	","Total	","	",58.193,1174,53.468,1.072
"ED Visits	",Madison,2010-2012,"Total	","	","Total	","	",57.487,1157,52.857,1.056
"ED Visits	",Madison,2011-2013,"Total	","	","Total	","	",52.321,1043,47.843,0.952
"ED Visits	",Madison,2012-2014,"Total	","	","Total	","	",48.444,951,43.756,0.868
"ED Visits	",Madison,2013-2015,"Total	","	","Total	","	",45.06,876,40.439,0.8
"ED Visits	",Madison,2014-2016,"Total	","	","Total	","	",40.147,772,35.839,0.704
